OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2251,1993-036A,2026-08-25T21:51:21.292704,14.33266471,.0025743,74.0382,207.8041,231.8760,128.0071,0,U,22675,999,73443,.26262505E-4,.46E-6,0
COSMOS 2251 DEB,1993-036E,2026-08-25T10:00:30.691296,14.32634931,.00146754,74.0350,216.8395,177.1254,337.4359,0,U,33757,999,91657,.27565614E-4,.49E-6,0
COSMOS 2251 DEB,1993-036F,2026-08-25T07:10:30.176832,14.53109757,.0016217,74.0254,92.9699,102.5155,18.4173,0,U,33758,999,92015,.47599E-3,.1944E-4,0
COSMOS 2251 DEB,1993-036H,2026-08-25T07:09:47.488320,14.35805653,.0021179,74.0325,172.3782,214.8933,300.6733,0,U,33760,999,91792,.58185E-4,.142E-5,0
COSMOS 2251 DEB,1993-036J,2026-08-25T03:42:18.932256,14.43154137,.00228329,74.0359,138.0017,162.4455,348.5127,0,U,33761,999,91918,.2093358E-3,.679E-5,0
COSMOS 2251 DEB,1993-036K,2026-08-25T16:18:06.361920,14.33729401,.00158391,74.0407,202.0844,209.4321,326.0507,0,U,33762,999,91715,.30716332E-4,.59E-6,0
COSMOS 2251 DEB,1993-036M,2026-08-25T13:08:10.023936,14.39949855,.00208174,74.0341,160.1011,60.9784,111.5459,0,U,33764,999,91838,.19362475E-3,.584E-5,0
COSMOS 2251 DEB,1993-036N,2026-08-25T09:01:57.196416,15.28984008,.00468452,74.0006,356.5781,18.3702,341.9178,0,U,33765,999,93501,.18094991E-2,.52983E-3,0
COSMOS 2251 DEB,1993-036P,2026-08-25T19:20:18.109824,14.35647595,.00626995,74.1864,29.6601,160.3476,200.0116,0,U,33766,999,91419,.425162E-3,.123E-4,0
COSMOS 2251 DEB,1993-036R,2026-08-25T18:47:30.156288,13.58637224,.03675089,74.0700,166.5312,267.4973,116.7692,0,U,33768,999,86773,.68694634E-4,.54E-6,0
COSMOS 2251 DEB,1993-036U,2026-08-25T16:41:58.828992,14.75745990,.00151332,74.0435,31.9248,10.3668,2.8870,0,U,33779,999,92298,.42077009E-3,.2853E-4,0
COSMOS 2251 DEB,1993-036X,2026-08-25T06:24:05.312160,14.41011257,.002065,74.0335,164.7182,175.5258,338.0327,0,U,33782,999,91806,.26757E-3,.836E-5,0
COSMOS 2251 DEB,1993-036AA,2026-08-25T13:33:51.024960,14.75290567,.0016111,73.8635,276.1319,172.7867,339.1182,0,U,33785,999,92274,.50238E-3,.3376E-4,0
COSMOS 2251 DEB,1993-036AE,2026-08-25T16:22:43.844160,13.89104389,.02397454,74.0648,12.8898,68.4935,305.2303,0,U,33789,999,88649,.99790877E-4,.131E-5,0
COSMOS 2251 DEB,1993-036AG,2026-08-25T14:08:58.432416,14.44193235,.0027918,74.1723,285.9389,39.4707,119.9897,0,U,33791,999,91744,.37198E-3,.1257E-4,0
COSMOS 2251 DEB,1993-036AH,2026-08-25T15:12:39.222720,13.46208320,.0431694,73.8995,296.4908,315.8564,198.9384,0,U,33792,999,85885,.46733E-3,.469E-5,0
COSMOS 2251 DEB,1993-036AJ,2026-08-25T10:34:45.273792,14.28436785,.00772294,73.9802,44.8591,136.9906,251.8437,0,U,33793,999,90857,.49070559E-3,.1242E-4,0
COSMOS 2251 DEB,1993-036AL,2026-08-25T08:24:46.501344,15.17832895,.0030753,74.0435,267.3955,288.0773,84.2842,0,U,33795,999,93885,.96797446E-3,.19843E-3,0
COSMOS 2251 DEB,1993-036AN,2026-08-25T09:22:15.168576,14.58817017,.00635021,74.0441,268.6392,290.6482,80.1159,0,U,33797,999,92712,.23055405E-3,.1077E-4,0
COSMOS 2251 DEB,1993-036AP,2026-08-25T09:51:53.637408,14.44848555,.00902124,74.0301,19.5751,77.7833,314.3699,0,U,33798,999,92286,.97690261E-4,.329E-5,0
COSMOS 2251 DEB,1993-036AQ,2026-08-25T14:08:49.528896,14.86129110,.0025929,74.0327,295.2085,304.4369,206.0874,0,U,33799,999,92604,.12263E-2,.10798E-3,0
COSMOS 2251 DEB,1993-036AW,2026-08-25T07:36:02.652768,14.58387966,.00618236,74.0307,184.8980,307.3830,52.1714,0,U,33805,999,92952,.19295101E-3,.886E-5,0
COSMOS 2251 DEB,1993-036BC,2026-08-25T09:41:56.153760,15.15854310,.00310639,73.8258,127.7484,161.6465,315.1475,0,U,33811,999,93879,.13896611E-2,.2697E-3,0
COSMOS 2251 DEB,1993-036BH,2026-08-25T16:23:08.262528,13.82131868,.02653413,73.8948,31.4287,356.0807,3.8232,0,U,33816,999,88209,.14521056E-3,.18E-5,0
COSMOS 2251 DEB,1993-036BK,2026-08-25T22:00:36.602784,15.45924009,.00088784,74.0712,344.2652,288.4466,71.5780,0,U,33818,999,93774,.22266757E-2,.110057E-2,0
COSMOS 2251 DEB,1993-036BL,2026-08-25T14:47:20.973408,14.33029392,.0088921,74.1778,106.6608,255.6803,124.5353,0,U,33819,999,91160,.30858E-3,.857E-5,0
COSMOS 2251 DEB,1993-036BN,2026-08-25T14:40:48.582624,15.42896259,.00357023,74.0253,314.2812,281.5421,78.1781,0,U,33821,999,78925,.79998082E-3,.36093E-3,0
COSMOS 2251 DEB,1993-036BP,2026-08-25T01:10:00.724800,14.14360374,.01523512,74.0667,102.3844,87.0659,67.7704,0,U,33822,999,89662,.10739086E-2,.2273E-4,0
COSMOS 2251 DEB,1993-036BQ,2026-08-25T18:48:42.920640,13.99469048,.02075837,73.8083,60.3661,140.9922,234.2454,0,U,33823,999,89191,.69043644E-3,.1187E-4,0
COSMOS 2251 DEB,1993-036BS,2026-08-25T10:53:14.285184,14.73443235,.00753046,73.9797,248.7877,155.6096,263.4666,0,U,33825,999,92642,.63567931E-3,.4284E-4,0
COSMOS 2251 DEB,1993-036BT,2026-08-25T14:19:54.001920,14.54692012,.0084261,74.0636,287.5684,269.2555,251.4030,0,U,33826,999,91486,.88021E-3,.392E-4,0
COSMOS 2251 DEB,1993-036BV,2026-08-25T16:00:32.821056,14.44994036,.00282984,74.0455,121.8765,134.9111,255.8580,0,U,33828,999,92009,.22919654E-3,.777E-5,0
COSMOS 2251 DEB,1993-036BX,2026-08-25T22:45:11.155392,14.79573691,.00413335,74.0292,86.7707,143.8362,282.9060,0,U,33830,999,93258,.54664805E-3,.4121E-4,0
COSMOS 2251 DEB,1993-036BZ,2026-08-25T12:54:23.505984,14.63568203,.0022675,74.0527,80.5625,50.8716,337.0868,0,U,33832,999,92164,.76791941E-3,.3973E-4,0
COSMOS 2251 DEB,1993-036CC,2026-08-25T17:58:23.617344,14.64251486,.00558944,74.0583,330.5032,316.9212,201.3407,0,U,33835,999,92534,.39765551E-3,.2112E-4,0
COSMOS 2251 DEB,1993-036CD,2026-08-25T08:43:55.255008,14.83829214,.00238107,73.9957,112.6190,253.6159,223.4555,0,U,33836,999,67875,.67832427E-3,.5621E-4,0
