OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 33,1997-051C,2026-08-25T07:37:31.459008,14.35171677,.00101213,86.3907,320.9513,98.8182,261.4161,0,U,24946,999,51500,.55306272E-4,.178E-5,0
IRIDIUM 33 DEB,1997-051L,2026-08-25T15:19:51.854304,14.43741812,.00120914,86.4030,312.1345,37.2641,322.9397,0,U,33773,999,92039,.17648609E-3,.62E-5,0
IRIDIUM 33 DEB,1997-051N,2026-08-25T22:40:20.155008,14.42162572,.00138811,86.3627,300.1284,46.2389,75.4447,0,U,33775,999,91832,.24235165E-3,.818E-5,0
IRIDIUM 33 DEB,1997-051P,2026-08-25T07:28:51.924576,14.38612433,.00165921,86.4087,333.4184,81.2849,342.1352,0,U,33776,999,91756,.15722812E-3,.502E-5,0
IRIDIUM 33 DEB,1997-051Q,2026-08-25T04:44:42.892224,14.57229889,.0009073,86.3749,283.9385,109.7504,250.4684,0,U,33777,999,92252,.5043E-3,.23E-4,0
IRIDIUM 33 DEB,1997-051T,2026-08-25T21:30:18.355392,14.42811335,.0013249,86.3374,279.9822,51.5158,69.4403,0,U,33850,999,91845,.318018E-3,.1081E-4,0
IRIDIUM 33 DEB,1997-051W,2026-08-25T06:54:17.080416,13.99945967,.0209302,85.9960,237.6422,171.4961,250.6152,0,U,33853,999,88920,.47842E-3,.868E-5,0
IRIDIUM 33 DEB,1997-051AD,2026-08-25T20:38:37.252896,14.70838964,.0009609,86.3778,273.4929,158.0680,325.6719,0,U,33860,999,92483,.63624633E-3,.3913E-4,0
IRIDIUM 33 DEB,1997-051AF,2026-08-25T04:48:23.581152,14.73975477,.0045286,86.4063,284.3846,259.9416,166.0174,0,U,33862,999,92582,.28384E-3,.1919E-4,0
IRIDIUM 33 DEB,1997-051AK,2026-08-25T18:42:57.393216,14.26718212,.01130992,86.3055,344.5868,59.6644,92.6432,0,U,33866,999,90459,.98475565E-3,.2568E-4,0
IRIDIUM 33 DEB,1997-051AP,2026-08-25T11:57:58.155264,14.47020441,.0022123,86.3756,308.5419,57.5284,4.3446,0,U,33870,999,91834,.37157102E-3,.1375E-4,0
IRIDIUM 33 DEB,1997-051BA,2026-08-25T06:19:02.748000,14.63215273,.0053735,86.3874,354.9907,30.4981,351.2876,0,U,33881,999,91229,.16663E-2,.8786E-4,0
IRIDIUM 33 DEB,1997-051BD,2026-08-25T06:51:57.972096,14.84064368,.0014425,86.3624,253.7277,126.4703,244.2659,0,U,33884,999,92630,.97678E-3,.8184E-4,0
IRIDIUM 33 DEB,1997-051BF,2026-08-25T07:07:52.942656,14.36307517,.00158962,86.3865,319.6627,126.0119,297.6824,0,U,33886,999,91720,.11634035E-3,.36E-5,0
IRIDIUM 33 DEB,1997-051BG,2026-08-25T09:13:42.183264,14.37432537,.00082243,86.2989,253.2076,115.6966,310.1425,0,U,33887,999,91837,.94142479E-4,.301E-5,0
IRIDIUM 33 DEB,1997-051BN,2026-08-25T23:00:19.179648,14.57472185,.00141572,86.3851,302.3868,322.9811,158.1397,0,U,33953,999,92033,.47836924E-3,.2195E-4,0
IRIDIUM 33 DEB,1997-051BV,2026-08-25T07:10:49.310112,14.95666289,.000251,86.2586,167.8706,70.7925,83.3269,0,U,33960,999,92676,.12519E-2,.13958E-3,0
IRIDIUM 33 DEB,1997-051CB,2026-08-25T15:14:53.732832,14.50544069,.000968,86.3910,296.1411,75.4680,85.6837,0,U,33966,999,92150,.26825E-3,.1071E-4,0
IRIDIUM 33 DEB,1997-051CE,2026-08-25T09:23:36.906432,14.50552528,.00065632,86.3400,266.5924,354.5122,5.6010,0,U,34071,999,92039,.31472534E-3,.1253E-4,0
IRIDIUM 33 DEB,1997-051CL,2026-08-25T23:12:42.081408,14.68773124,.0008325,86.3842,298.2393,206.7481,273.4735,0,U,34077,999,92089,.90235586E-3,.5286E-4,0
IRIDIUM 33 DEB,1997-051CN,2026-08-25T19:47:01.179744,14.91054248,.00088114,86.3694,251.3329,135.2190,345.7879,0,U,34079,999,92785,.99016991E-3,.9836E-4,0
IRIDIUM 33 DEB,1997-051CX,2026-08-25T10:07:34.306176,15.08077259,.00031868,86.3649,271.4771,30.1497,34.6425,0,U,34088,999,92575,.19464247E-2,.30112E-3,0
IRIDIUM 33 DEB,1997-051DA,2026-08-25T15:50:25.917216,14.98643812,.00290929,86.3463,307.9576,104.9847,255.4608,0,U,34091,999,91681,.26516999E-2,.32234E-3,0
IRIDIUM 33 DEB,1997-051DG,2026-08-25T07:11:58.350624,14.36335269,.0077626,86.1942,248.3955,245.2071,114.1037,0,U,34097,999,90786,.62903E-3,.1922E-4,0
IRIDIUM 33 DEB,1997-051DY,2026-08-25T08:55:43.096512,14.43930113,.00504445,86.2096,218.4721,332.9638,26.8936,0,U,34145,999,91325,.83039043E-3,.2896E-4,0
IRIDIUM 33 DEB,1997-051DZ,2026-08-25T18:15:32.447808,14.50440738,.00288821,86.2781,236.5315,91.5033,83.0351,0,U,34146,999,91816,.57905254E-3,.2295E-4,0
IRIDIUM 33 DEB,1997-051EN,2026-08-25T10:51:44.837856,14.39054920,.00286546,86.3503,299.1892,163.3173,196.8975,0,U,34159,999,91636,.22651029E-3,.723E-5,0
IRIDIUM 33 DEB,1997-051ES,2026-08-25T07:58:48.631584,14.45979586,.00214912,86.3220,251.8298,17.3399,355.1241,0,U,34350,999,91986,.21031003E-3,.771E-5,0
IRIDIUM 33 DEB,1997-051FJ,2026-08-25T22:57:15.156288,14.56255130,.00189982,86.3673,297.6584,5.4398,114.8339,0,U,34366,999,91908,.64004441E-3,.2858E-4,0
IRIDIUM 33 DEB,1997-051FT,2026-08-25T01:05:27.288672,14.18419879,.01028719,86.4240,79.7209,36.4857,116.1169,0,U,34375,999,90330,.25864189E-3,.581E-5,0
IRIDIUM 33 DEB,1997-051FU,2026-08-25T17:56:31.769088,14.66882406,.00249426,86.2896,250.9233,23.7770,336.4590,0,U,34376,999,91755,.11064264E-2,.6233E-4,0
IRIDIUM 33 DEB,1997-051GB,2026-08-25T18:59:46.968576,15.11588883,.00020922,86.3751,252.0698,218.2428,316.6279,0,U,34486,999,92835,.16471253E-2,.28048E-3,0
IRIDIUM 33 DEB,1997-051GC,2026-08-25T00:44:40.041600,14.43546104,.00310736,86.3381,262.4369,10.5047,18.8142,0,U,34487,999,91931,.11487285E-3,.411E-5,0
IRIDIUM 33 DEB,1997-051GH,2026-08-25T10:33:58.527072,14.29923177,.0178637,86.4676,230.8422,132.1033,19.5256,0,U,34492,999,88708,.19985258E-2,.6143E-4,0
IRIDIUM 33 DEB,1997-051GN,2026-08-25T03:29:49.316352,14.28217902,.00773762,86.2782,303.2479,233.8206,154.3101,0,U,34497,999,90528,.34894512E-3,.916E-5,0
IRIDIUM 33 DEB,1997-051GZ,2026-08-25T19:03:38.078208,14.40013346,.00646493,86.3746,353.9014,53.6380,307.0761,0,U,34508,999,90992,.69023648E-3,.2248E-4,0
IRIDIUM 33 DEB,1997-051HN,2026-08-25T20:20:09.162528,14.66314660,.00058079,86.3749,277.4822,107.1649,253.0201,0,U,34521,999,92222,.58229209E-3,.3235E-4,0
IRIDIUM 33 DEB,1997-051HS,2026-08-25T04:13:41.577888,14.43481528,.00034327,86.3721,297.7886,359.5304,27.3040,0,U,34525,999,91772,.20423704E-3,.71E-5,0
IRIDIUM 33 DEB,1997-051HW,2026-08-25T13:22:39.569088,14.40919454,.00071902,86.3612,286.3510,85.6889,274.5132,0,U,34529,999,91825,.11442856E-3,.387E-5,0
IRIDIUM 33 DEB,1997-051JF,2026-08-25T12:02:36.517920,14.43847218,.00338153,86.2711,253.3828,193.8902,318.5301,0,U,34538,999,91445,.35180507E-3,.1226E-4,0
IRIDIUM 33 DEB,1997-051JH,2026-08-25T09:05:10.486176,14.80182933,.00158001,86.3125,190.2228,11.8273,117.8324,0,U,34540,999,92797,.11985475E-2,.915E-4,0
IRIDIUM 33 DEB,1997-051JZ,2026-08-25T06:12:24.875136,14.15102979,.01640223,86.3993,178.5144,211.5585,147.5685,0,U,34648,999,88571,.59861007E-3,.1339E-4,0
IRIDIUM 33 DEB,1997-051KC,2026-08-25T20:21:20.800224,14.29102344,.01333964,86.2806,31.1628,98.8605,262.7718,0,U,34651,999,89550,.18022411E-2,.5048E-4,0
IRIDIUM 33 DEB,1997-051KD,2026-08-25T05:43:53.514912,14.64005498,.00290825,86.3286,226.0138,138.4600,233.1158,0,U,34652,999,92220,.51936892E-3,.276E-4,0
IRIDIUM 33 DEB,1997-051KM,2026-08-25T21:47:17.362176,14.56326637,.00077307,86.3748,285.5654,215.4541,199.8973,0,U,34690,999,91821,.56091253E-3,.2506E-4,0
IRIDIUM 33 DEB,1997-051KT,2026-08-25T01:39:54.640224,14.81134454,.00491013,86.1791,266.9552,9.0687,20.3321,0,U,34696,999,90434,.26313871E-2,.20937E-3,0
IRIDIUM 33 DEB,1997-051LJ,2026-08-25T03:08:27.416832,14.41072514,.00186888,86.3358,283.1287,97.0390,290.6226,0,U,34765,999,91291,.21280613E-3,.706E-5,0
IRIDIUM 33 DEB,1997-051MH,2026-08-25T05:07:37.849728,14.53823383,.00173452,86.3924,300.7743,323.7446,99.7718,0,U,34833,999,91425,.39640867E-3,.1688E-4,0
IRIDIUM 33 DEB,1997-051MQ,2026-08-24T08:44:03.782688,14.80978256,.00179421,86.3128,196.9838,33.2082,117.8931,0,U,34870,999,92674,.98420737E-3,.7666E-4,0
IRIDIUM 33 DEB,1997-051MY,2026-08-23T05:20:11.416704,14.68459400,.00282035,86.3289,212.7618,70.0690,301.1089,0,U,34896,999,91337,.58310162E-3,.3419E-4,0
IRIDIUM 33 DEB,1997-051NF,2026-08-25T08:17:46.180896,14.63390115,.00715034,86.1289,248.6798,146.5228,279.3576,0,U,34926,999,90186,.16946736E-2,.9118E-4,0
IRIDIUM 33 DEB,1997-051NR,2026-08-25T15:38:18.113856,14.42973606,.00234284,86.3706,307.6437,99.4317,52.5558,0,U,34985,999,90864,.31145041E-3,.1065E-4,0
IRIDIUM 33 DEB,1997-051NX,2026-08-25T07:54:17.090208,14.48658339,.00066385,86.3185,257.3377,333.1511,26.9348,0,U,35051,999,90695,.35756095E-3,.1366E-4,0
IRIDIUM 33 DEB,1997-051NY,2026-08-25T12:53:44.186208,14.38776785,.0010154,86.3257,270.7950,333.8607,26.2077,0,U,35052,999,90953,.11091E-3,.36E-5,0
IRIDIUM 33 DEB,1997-051PM,2026-08-25T11:33:08.311680,14.46158416,.00159493,86.3882,313.5427,23.9075,336.2865,0,U,35297,999,74121,.3573745E-3,.1298E-4,0
IRIDIUM 33 DEB,1997-051PP,2026-08-25T13:45:20.483136,14.42791266,.0052494,86.2848,281.6191,340.1315,173.5129,0,U,35299,999,90017,.61261E-3,.2095E-4,0
IRIDIUM 33 DEB,1997-051QA,2026-08-23T19:47:04.922592,14.50856024,.00123192,86.3516,274.6490,346.5701,13.5174,0,U,35480,999,90714,.30645718E-3,.1229E-4,0
IRIDIUM 33 DEB,1997-051QE,2026-08-24T17:23:50.995392,15.21913420,.00066532,86.3398,230.8486,244.3745,115.6812,0,U,35484,999,65865,.22641604E-2,.51886E-3,0
IRIDIUM 33 DEB,1997-051QJ,2026-08-24T20:01:56.162784,14.88119945,.00217827,86.3279,182.7596,208.9646,151.0372,0,U,35488,999,92054,.83452246E-3,.7741E-4,0
IRIDIUM 33 DEB,1997-051QN,2026-08-25T10:01:36.452064,14.88333767,.00087692,86.3487,228.3194,21.7769,338.3827,0,U,35616,999,91370,.1146711E-2,.10646E-3,0
IRIDIUM 33 DEB,1997-051QQ,2026-08-23T07:02:21.205536,14.53189119,.00259476,86.3349,242.5085,244.0448,115.8084,0,U,35618,999,69075,.27007288E-3,.1144E-4,0
IRIDIUM 33 DEB,1997-051QS,2026-08-25T02:16:37.498944,14.42838702,.01286453,86.3847,109.2983,137.0270,224.1068,0,U,35620,999,63643,.20532795E-2,.7596E-4,0
IRIDIUM 33 DEB,1997-051QU,2026-08-19T17:20:39.844032,15.45638672,.00109737,86.1768,137.2562,92.3352,297.9631,0,U,35622,999,91156,.79148008E-2,.40106E-2,0
IRIDIUM 33 DEB,1997-051QX,2026-08-12T22:11:28.330080,14.32175525,.0104953,86.1872,276.1814,132.7316,347.7702,0,U,35625,999,69519,.51334058E-3,.1489E-4,0
IRIDIUM 33 DEB,1997-051RA,2026-08-25T19:06:28.237824,14.71091567,.00124065,86.3504,254.4735,154.8790,205.3033,0,U,35628,999,90207,.75937572E-3,.4695E-4,0
IRIDIUM 33 DEB,1997-051RD,2026-08-25T01:41:36.808224,14.47877093,.00164072,86.3622,270.9773,357.9935,33.0450,0,U,35631,999,90891,.10957433E-3,.427E-5,0
IRIDIUM 33 DEB,1997-051RJ,2026-08-08T10:01:57.969984,14.23323159,.01452993,86.1043,275.6085,238.1690,134.3340,0,U,35680,999,64094,.55259665E-3,.1413E-4,0
IRIDIUM 33 DEB,1997-051RX,2026-08-23T08:46:15.121920,14.74065380,.00226943,86.3287,210.4954,47.0852,313.2266,0,U,35744,999,91064,.71874655E-3,.4773E-4,0
IRIDIUM 33 DEB,1997-051SF,2026-08-25T05:40:39.058752,14.89497104,.0009732,86.3331,211.8399,0.3620,359.7612,0,U,35797,999,91136,.12359E-2,.1181E-3,0
IRIDIUM 33 DEB,1997-051SQ,2026-08-22T08:52:24.235680,14.59725545,.00106136,86.3395,269.1334,298.5076,61.5065,0,U,35806,999,90007,.61155224E-3,.2939E-4,0
IRIDIUM 33 DEB,1997-051ST,2026-08-15T06:35:40.139232,14.80526012,.00148225,86.3241,223.0053,107.1809,253.1036,0,U,35809,999,90435,.59302852E-3,.4574E-4,0
IRIDIUM 33 DEB,1997-051SW,2026-08-23T04:12:14.529024,14.44030286,.00194736,86.3760,310.6313,61.7076,298.6087,0,U,35846,999,74985,.29240654E-3,.1022E-4,0
IRIDIUM 33 DEB,1997-051SY,2026-08-23T08:50:25.932480,14.84275948,.00091726,86.3833,261.4402,54.4840,305.7238,0,U,35848,999,70446,.86252377E-3,.7258E-4,0
IRIDIUM 33 DEB,1997-051TA,2026-08-25T17:06:55.230336,14.84352799,.00106426,86.3451,227.1637,41.2725,318.9301,0,U,35850,999,75148,.10899597E-2,.9186E-4,0
IRIDIUM 33 DEB,1997-051TY,2026-08-25T05:46:57.647136,14.87194073,.0012024,86.3391,225.4682,38.1188,322.0885,0,U,35915,999,11876,.13349E-2,.12057E-3,0
IRIDIUM 33 DEB,1997-051UB,2026-08-21T13:36:09.254592,14.53087571,.00269283,86.4046,327.5646,51.5116,11.1811,0,U,35918,999,88862,.60010969E-3,.2512E-4,0
IRIDIUM 33 DEB,1997-051UN,2026-08-24T03:05:39.184800,15.23406270,.00139213,86.3400,190.2440,134.0660,226.1734,0,U,35929,999,91626,.2181799E-2,.52353E-3,0
IRIDIUM 33 DEB,1997-051US,2026-08-25T11:32:55.183200,14.42047878,.00209297,86.3378,285.5302,98.1676,328.4463,0,U,36011,999,68225,.25509596E-3,.859E-5,0
IRIDIUM 33 DEB,1997-051UT,2026-08-21T08:54:02.493216,14.21720348,.02165877,86.4447,205.7981,176.8385,183.4235,0,U,36012,999,69057,.10897783E-2,.3061E-4,0
IRIDIUM 33 DEB,1997-051VK,2026-08-20T14:20:42.925056,15.07820529,.00117011,86.3135,187.4168,208.0383,152.0224,0,U,36028,999,90890,.15023907E-2,.231E-3,0
IRIDIUM 33 DEB,1997-051VM,2026-08-21T08:39:09.791136,14.47503243,.0018579,86.3162,258.2604,56.6920,303.6059,0,U,36080,999,51053,.25777E-3,.969E-5,0
IRIDIUM 33 DEB,1997-051VQ,2026-08-25T21:27:06.249312,14.44039869,.00285823,86.3399,283.8097,98.6465,261.7976,0,U,36083,999,89145,.27827331E-3,.976E-5,0
IRIDIUM 33 DEB,1997-051VU,2026-08-23T03:49:07.989600,14.76551103,.00311745,86.2930,182.9322,15.6369,344.5805,0,U,36390,999,69998,.83062893E-3,.5863E-4,0
IRIDIUM 33 DEB,1997-051VZ,2026-08-16T11:33:48.359808,14.46623967,.00101746,86.3803,306.8249,43.2391,316.9608,0,U,36483,999,68712,.2041268E-3,.757E-5,0
IRIDIUM 33 DEB,1997-051WG,2026-08-24T18:28:35.314752,14.81861724,.00017762,86.3584,254.7852,145.0281,215.1058,0,U,36490,999,90255,.9104053E-3,.7223E-4,0
IRIDIUM 33 DEB,1997-051WK,2026-08-22T18:45:16.778880,14.68313923,.00098385,86.3514,258.9096,184.7189,175.3935,0,U,36493,999,78228,.65935815E-3,.3829E-4,0
IRIDIUM 33 DEB,1997-051WP,2026-08-12T01:17:30.130080,14.66910423,.00469246,86.1561,140.4575,16.4903,343.7824,0,U,36497,999,69200,.693843E-3,.3967E-4,0
IRIDIUM 33 DEB,1997-051XG,2026-08-25T05:55:57.969408,14.28448511,.0073659,86.1699,225.0672,245.2200,114.1317,0,U,37136,999,68145,.35669E-3,.937E-5,0
IRIDIUM 33 DEB,1997-051XH,2026-08-24T10:00:30.950496,14.52993765,.00259094,86.3489,292.3818,63.3097,297.0757,0,U,37548,999,69228,.43672046E-3,.183E-4,0
IRIDIUM 33 DEB,1997-051XK,2026-08-24T09:52:40.793664,14.70633389,.00017127,86.3718,270.6327,31.1460,328.9857,0,U,37550,999,90072,.69414829E-3,.4244E-4,0
IRIDIUM 33 DEB,1997-051XX,2026-08-25T11:37:44.173920,14.58722975,.00214112,86.3722,291.8713,325.5585,100.6662,0,U,37562,999,90054,.5828815E-3,.2749E-4,0
