OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CALSPHERE 1,1964-063C,2026-08-27T01:05:35.981376,13.76688057,.0027981,90.2173,73.4158,78.4770,43.5774,0,U,900,999,8117,.49825E-3,.5E-5,0
CALSPHERE 2,1964-063E,2026-08-27T01:03:45.150912,13.52904881,.001949,90.2290,77.4678,27.2237,93.4292,0,U,902,999,86584,.71616E-4,.56E-6,0
LCS 1,1965-034C,2026-08-27T01:23:41.892864,9.89310635,.0011649,32.1463,8.7513,12.5616,347.5170,0,U,1361,999,21690,-.33864E-3,.6E-7,0
TEMPSAT 1,1965-065E,2026-08-26T16:31:39.977760,13.33597457,.00713665,90.0021,212.6006,51.6987,125.3439,0,U,1512,999,96944,.46520679E-4,.33E-6,0
CALSPHERE 4A,1965-065H,2026-08-27T03:34:00.488064,13.36288703,.0067871,89.8939,121.7810,263.6058,226.2720,0,U,1520,999,97218,.1518E-3,.88E-6,0
OPS 5712 (P/L 160),1967-053A,2026-08-27T04:06:14.940000,14.78511283,.0004509,69.9144,224.1919,281.8637,78.2005,0,U,2826,999,7672,.10083E-2,.7305E-4,0
LES-5,1967-066E,2026-08-26T17:16:25.706208,1.09425048,.00515245,2.7823,94.3036,214.5197,95.7502,0,U,2866,999,13180,0,-.49E-6,0
SURCAL 159,1967-053F,2026-08-27T04:42:44.011008,13.99616625,.0006396,69.9727,207.9170,358.6201,1.4887,0,U,2872,999,2014,.74971E-4,.56E-6,0
OPS 5712 (P/L 153),1967-053H,2026-08-26T12:21:37.195776,13.96836962,.00047118,69.9760,324.5634,112.1004,248.0603,0,U,2874,999,1661,.50062792E-4,.16E-6,0
RIGIDSPHERE 2 (LCS 4),1971-067E,2026-08-27T04:10:17.887296,14.37942540,.0059514,87.6242,319.1088,359.6365,0.4780,0,U,5398,999,88408,.14487E-3,.464E-5,0
OSCAR 7 (AO-7),1974-089B,2026-08-26T22:27:05.059008,12.53699297,.0012226,101.9921,252.9218,358.1303,117.0601,0,U,7530,999,36938,.14709E-3,-.23E-6,0
STARLETTE,1975-010A,2026-08-27T03:42:05.364864,13.82351492,.0205708,49.8238,184.4751,297.4978,60.5140,0,U,7646,999,60435,-.93075E-5,-.153E-5,0
LAGEOS 1,1976-039A,2026-08-26T20:41:48.431904,6.38664807,.0044637,109.8124,203.5202,287.1145,91.8280,0,U,8820,999,91765,0,.3E-7,0
PHASE 3B (AO-10),1983-058B,2026-08-22T21:16:39.881280,2.05871966,.59889826,25.9661,208.6277,133.9728,294.5118,0,U,14129,999,29686,0,-.31E-5,0
UOSAT 2 (UO-11),1984-021B,2026-08-26T19:52:07.766688,14.90949274,.00065099,97.8133,203.6479,320.7132,39.3613,0,U,14781,999,26765,.14718669E-3,.1397E-4,0
AJISAI (EGS),1986-061A,2026-08-27T02:50:46.544928,12.44517078,.0011215,50.0094,289.2869,1.2412,31.6765,0,U,16908,999,48922,.16893E-3,-.73E-6,0
TDRS 3,1988-091B,2026-08-26T14:35:14.568000,1.00265686,.0036804,12.5496,340.5247,352.9926,171.0961,0,U,19548,999,12609,0,-.294E-5,0
COSMOS 1989 (ETALON 1),1989-001C,2026-08-26T08:33:45.561312,2.13156096,.00233838,64.9898,69.7973,217.3804,312.8114,0,U,19751,999,29286,0,.36E-6,0
COSMOS 2024 (ETALON 2),1989-039C,2026-08-25T11:01:43.221792,2.13204741,.00208548,64.8882,308.1472,212.2599,159.0933,0,U,20026,999,28998,0,-.26E-6,0
FLTSATCOM 8 (USA 46),1989-077A,2026-08-26T19:04:38.790624,1.00261458,.00015085,12.4027,350.7286,155.8491,240.0249,0,U,20253,999,26127,0,-.363E-5,0
LUSAT (LO-19),1990-005G,2026-08-26T12:11:59.300736,14.34140075,.00115641,98.8840,262.2460,5.5985,354.5326,0,U,20442,999,91247,.50099663E-4,.94E-6,0
HST,1990-037B,2026-08-26T14:27:59.366880,15.31467877,.00017959,28.4735,319.0462,193.1624,166.8925,0,U,20580,999,79937,.20206862E-3,.6557E-4,0
TDRS 5,1991-054B,2026-08-26T13:59:19.332960,1.00273194,.0008224,14.0628,353.2456,246.5741,137.1768,0,U,21639,999,12842,0,.89E-6,0
LAGEOS 2,1992-070B,2026-08-21T09:32:35.937888,6.47294115,.0138023,52.6388,225.4441,215.8898,299.2312,0,U,22195,999,79964,0,-.9E-7,0
TDRS 6,1993-003B,2026-08-26T18:03:59.434272,1.00264189,.00101669,14.1847,356.5247,195.5784,7.7647,0,U,22314,999,12311,0,-.291E-5,0
SCD 1,1993-009B,2026-08-26T19:53:25.948320,14.46143879,.00419996,24.9688,131.3967,165.4512,246.0415,0,U,22490,999,77135,.60015059E-4,.407E-5,0
UFO 2 (USA 95),1993-056A,2026-08-26T23:26:15.164160,1.00270384,.0001053,11.9204,3.1511,250.3784,101.8965,0,U,22787,999,11925,0,.129E-5,0
STELLA,1993-061B,2026-08-27T04:45:56.397024,14.27472037,.000701,98.7666,303.6839,38.3996,31.8717,0,U,22824,999,71490,.57586E-5,-.31E-6,0
EYESAT A (AO-27),1993-061C,2026-08-27T04:21:57.506112,14.30957730,.0007311,98.6824,306.5492,249.1133,110.9267,0,U,22825,999,71715,.48223E-4,.82E-6,0
ITAMSAT (IO-26),1993-061D,2026-08-27T03:21:47.144736,14.31386236,.0007992,98.6773,306.4324,230.4854,129.5623,0,U,22826,999,71746,.47358E-4,.81E-6,0
RADIO ROSTO (RS15),1994-085A,2026-08-27T03:44:31.437024,11.27584071,.0158543,64.8155,188.4368,351.0065,8.8027,0,U,23439,999,30390,-.57029E-3,-.63E-6,0
UFO 4 (USA 108),1995-003A,2026-08-27T03:32:30.981984,1.00274755,.0002663,9.6833,12.8477,142.6140,45.3254,0,U,23467,999,11566,0,-.18E-6,0
TDRS 7,1995-035B,2026-08-26T18:50:31.211808,1.00278445,.00120171,13.3079,347.6954,97.1634,261.8203,0,U,23613,999,11395,0,-.234E-5,0
USA 115 (MILSTAR-1 2),1995-060A,2026-08-26T09:52:38.758944,1.00274431,.0006725,14.0975,3.2110,145.1433,244.5133,0,U,23712,999,3359,0,-.199E-5,0
POLAR,1996-013A,2026-08-26T03:05:57.606144,1.29845824,.65416988,79.9563,226.2138,206.6811,94.6813,0,U,23802,999,14576,0,.238E-5,0
INMARSAT 3-F1,1996-020A,2026-08-27T03:34:38.701056,0.99997285,.0006091,10.7460,45.9591,134.6971,39.7147,0,U,23839,999,11096,0,.67E-6,0
USA 119,1996-029A,2026-08-26T17:55:18.881184,13.46474455,.0854677,63.3201,7.3846,50.3164,317.0119,0,U,23893,999,11477,.14302516E-3,.792E-5,0
JAS-2 (FO-29),1996-046B,2026-08-27T03:19:16.826880,13.53277295,.0348795,98.5185,78.2847,272.3286,83.7967,0,U,24278,999,48276,.47587E-4,.9E-7,0
INMARSAT 3-F2,1996-053A,2026-08-27T01:22:35.942880,0.99975159,.000579,10.0131,53.1946,98.5008,281.1489,0,U,24307,999,10963,0,-.47E-6,0
INMARSAT 3-F3,1996-070A,2026-08-26T18:02:13.813728,0.99998436,.00050118,10.4675,48.9532,133.8532,34.8685,0,U,24674,999,10861,0,-.239E-5,0
NAVSTAR 43 (USA 132),1997-035A,2026-08-26T12:02:14.543808,2.00564301,.01053843,56.0336,95.8251,58.4987,302.6247,0,U,24876,999,21336,0,.25E-6,0
FORTE,1997-047A,2026-08-27T01:18:01.017216,14.27968605,.0022163,69.9517,213.9460,189.2938,170.7777,0,U,24920,999,50880,.68187E-4,.112E-5,0
USA 134,1997-065A,2026-08-26T22:46:04.020096,1.00272829,.0001651,12.8671,21.1737,281.8516,261.6367,0,U,25019,999,3366,0,-.61E-6,0
ORBCOMM FM06,1997-084G,2026-08-26T12:36:56.193696,14.47709131,.00001245,45.0137,74.0578,181.9957,200.2334,0,U,25118,999,50458,.37544785E-3,.1254E-4,0
INMARSAT 3-F5,1998-006B,2026-08-27T04:15:47.486880,1.00273773,.0004659,9.8464,52.5281,103.4070,189.4729,0,U,25153,999,10460,0,-.289E-5,0
