OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ISS (ZARYA),1998-067A,2026-08-27T12:44:14.404128,15.49656235,0.000772,51.6325,306.9725,89.1136,271.0737,0,U,25544,999,58281,0.00016667,8.959e-05,0
POISK,2009-060A,2026-08-27T12:44:14.404128,15.49656235,0.000772,51.6325,306.9725,89.1136,271.0737,0,U,36086,999,58332,0.00016667,8.959e-05,0
CSS (TIANHE),2021-035A,2026-08-28T07:05:19.909248,15.59342755,0.00017923,41.4674,244.2754,252.6533,107.4109,0,U,48274,999,30442,0.00020102595,0.00016005,0
ISS (NAUKA),2021-066A,2026-08-27T12:44:14.404128,15.49656235,0.000772,51.6325,306.9725,89.1136,271.0737,0,U,49044,999,58336,0.00016667,8.959e-05,0
FREGAT DEB,2011-037PF,2026-08-28T00:35:13.333632,12.43851788,0.09288575,51.6375,145.6665,81.1972,289.2794,0,U,49271,999,23398,0.026883753,0.00018,0
CSS (WENTIAN),2022-085A,2026-08-28T07:05:19.909248,15.59342755,0.00017923,41.4674,244.2754,252.6533,107.4109,0,U,53239,999,28823,0.00020102595,0.00016005,0
CSS (MENGTIAN),2022-143A,2026-08-28T07:05:19.909248,15.59342755,0.00017923,41.4674,244.2754,252.6533,107.4109,0,U,54216,999,30491,0.00020102595,0.00016005,0
HRC MONOBLOCK CAMERA,1998-067XR,2026-08-27T08:26:52.076832,15.87732799,0.0006571,51.6165,270.29,32.9844,327.1569,0,U,66052,999,4925,0.00065067,0.00181763,0
SZ-21 MODULE,2025-246C,2026-08-26T23:08:53.739168,15.82974716,0.0009145,41.4695,224.4382,173.8898,186.2062,0,U,66515,999,4493,0.00026987,0.00059646,0
DUPLEX,1998-067XS,2026-08-27T16:31:23.606688,15.6797266,0.00041703,51.6246,286.9777,62.2892,297.8527,0,U,66906,999,4185,0.00043040991,0.00048344,0
KNACKSAT-2,1998-067XZ,2026-08-26T13:05:01.373856,15.66604784,0.00074473,51.6263,298.8705,87.9451,272.2397,0,U,67683,999,3128,0.00047013284,0.00050038,0
GXIBA-1,1998-067YB,2026-08-27T09:34:02.886528,15.69896805,0.00080906,51.6243,292.5442,83.2443,276.9474,0,U,67685,999,3144,0.00074092803,0.00091158,0
UITMSAT-2,1998-067YC,2026-08-27T10:14:35.696256,15.78019463,0.00082643,51.6233,288.1968,46.05,314.1181,0,U,67686,999,3150,0.00096805552,0.0017116,0
LEOPARD,1998-067YD,2026-08-27T16:53:53.677536,15.6993476,0.00079125,51.6264,291.6185,54.4268,305.7466,0,U,67687,999,3140,0.00085172061,0.00105214,0
HMU-SAT2,1998-067YE,2026-08-27T09:45:37.510560,15.73860853,0.00075495,51.6244,290.3505,50.3249,309.8414,0,U,67688,999,3139,0.00085095868,0.00124463,0
CREW DRAGON 12,2026-031A,2026-08-27T12:44:14.404128,15.49656235,0.000772,51.6325,306.9725,89.1136,271.0737,0,U,67796,999,58340,0.00016667,8.959e-05,0
PROGRESS-MS 33,2026-058A,2026-08-27T12:44:14.404128,15.49656235,0.000772,51.6325,306.9725,89.1136,271.0737,0,U,68319,999,58348,0.00016667,8.959e-05,0
CYGNUS NG-24,2026-079A,2026-08-27T12:44:14.404128,15.49656235,0.00077203,51.6325,306.9725,89.1136,271.0737,0,U,68689,999,58352,0.00016666654,8.959e-05,0
PROGRESS-MS 34,2026-093A,2026-08-27T12:44:14.404128,15.49656235,0.00077203,51.6325,306.9725,89.1136,271.0737,0,U,68837,999,58356,0.00016666654,8.959e-05,0
TIANZHOU-10,2026-102A,2026-08-28T07:05:19.909248,15.59342755,0.00017923,41.4674,244.2754,252.6533,107.4109,0,U,69049,999,30486,0.00020102595,0.00016005,0
SHENZHOU-23 (SZ-23),2026-113A,2026-08-28T07:05:19.909248,15.59342755,0.00017923,41.4674,244.2754,252.6533,107.4109,0,U,69180,999,30473,0.00020102595,0.00016005,0
SOYUZ-MS 29,2026-162A,2026-08-27T12:44:14.404128,15.49656235,0.00077203,51.6325,306.9725,89.1136,271.0737,0,U,100057,999,58360,0.00016666654,8.959e-05,0
