OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
KUIPER-00008,2025-088A,2026-08-25T21:33:28.219392,14.79936335,.00008091,51.9007,59.7671,122.6229,237.4811,0,U,63724,999,7310,.13269354E-3,.791E-5,0
KUIPER-00009,2025-088B,2026-08-25T22:45:02.547360,15.07796621,.0001171,51.9020,71.9224,71.1487,288.9615,0,U,63725,999,7293,.35235733E-3,.5173E-4,0
KUIPER-00010,2025-088C,2026-08-25T20:52:38.122752,14.79932162,.00007201,51.9030,55.0004,105.5699,254.5343,0,U,63726,999,7278,.19058509E-3,.1232E-4,0
KUIPER-00011,2025-088D,2026-08-25T21:29:36.477312,14.79942846,.00005639,51.9012,62.4317,131.9061,228.1949,0,U,63727,999,7281,.2364379E-3,.1582E-4,0
KUIPER-00012,2025-088E,2026-08-25T21:04:16.473216,14.79932952,.00006253,51.9013,47.4471,115.4364,244.6663,0,U,63728,999,7297,.16140775E-3,.101E-4,0
KUIPER-00013,2025-088F,2026-08-25T22:39:40.144896,14.79933747,.00008749,51.9023,79.6746,114.4387,245.6667,0,U,63729,999,7263,.19408669E-3,.1259E-4,0
KUIPER-00014,2025-088G,2026-08-25T13:44:47.565600,14.79938077,.00007,51.9019,81.2608,110.9143,249.1894,0,U,63730,999,7239,.15652E-3,.972E-5,0
KUIPER-00015,2025-088H,2026-08-25T07:48:55.686528,14.79925785,.00008149,51.8996,92.4060,106.6231,253.4821,0,U,63731,999,7267,.41909638E-4,.98E-6,0
KUIPER-00016,2025-088J,2026-08-25T13:40:51.403296,14.79957940,.0000886,51.8997,83.7811,110.1070,249.9988,0,U,63732,999,7235,.3993E-3,.2826E-4,0
KUIPER-00018,2025-088K,2026-08-25T13:07:51.829824,14.79933566,.0000739,51.9044,73.9243,110.0509,250.0533,0,U,63733,999,7249,.13903E-3,.839E-5,0
KUIPER-00019,2025-088L,2026-08-25T21:52:28.486848,14.79931601,.00010071,51.9005,71.0616,124.5879,235.5178,0,U,63734,999,7256,.20629245E-3,.1352E-4,0
KUIPER-00020,2025-088M,2026-08-25T22:47:26.173536,14.79933826,.0000941,51.9014,74.6419,112.6927,247.4135,0,U,63735,999,7272,.19582534E-3,.1272E-4,0
KUIPER-00021,2025-088N,2026-08-25T13:52:34.656960,14.79933168,.0000932,51.8997,76.2354,113.1523,246.9538,0,U,63736,999,7250,.148E-3,.907E-5,0
KUIPER-00023,2025-088P,2026-08-25T22:43:30.656640,14.79934435,.00008751,51.9002,77.0914,147.0181,213.0836,0,U,63737,999,7282,-.50216734E-4,-.604E-5,0
KUIPER-00024,2025-088Q,2026-08-25T13:19:28.198272,14.79955415,.0001251,51.9038,66.4350,120.5547,239.5539,0,U,63738,999,7306,-.91451E-3,-.7189E-4,0
KUIPER-00025,2025-088R,2026-08-25T22:02:42.441792,14.79934567,.00010339,51.9027,72.3101,117.0261,243.0807,0,U,63739,999,7287,.27187691E-3,.1852E-4,0
KUIPER-00027,2025-088S,2026-08-25T21:21:49.339296,14.79940291,.00010989,51.9025,67.3972,122.1844,237.9225,0,U,63740,999,7267,.2536582E-3,.1713E-4,0
KUIPER-00028,2025-088T,2026-08-25T06:01:54.639840,14.79920202,.0000913,51.9011,67.6669,121.1314,238.9738,0,U,63741,999,7302,.17173E-3,.1088E-4,0
KUIPER-00029,2025-088U,2026-08-25T21:39:47.446272,14.79937374,.00012441,51.9023,63.4792,106.2142,253.8958,0,U,63742,999,7266,.1554263E-3,.964E-5,0
KUIPER-00030,2025-088V,2026-08-25T22:35:47.181120,14.79931271,.00008883,51.9014,82.1302,110.4146,249.6912,0,U,63743,999,7269,.18592059E-3,.1196E-4,0
KUIPER-00031,2025-088W,2026-08-25T22:10:27.263424,14.79932149,.00007227,51.9016,67.2299,116.4941,243.6095,0,U,63744,999,7261,.23873052E-3,.1599E-4,0
KUIPER-00032,2025-088X,2026-08-25T10:03:02.037312,15.41963523,.00045567,51.8663,285.2879,6.4124,353.6922,0,U,63745,999,7554,.32040139E-3,.1348E-3,0
KUIPER-00033,2025-088Y,2026-08-25T08:25:54.110208,14.79929948,.00010622,51.9013,99.7625,106.1100,253.9980,0,U,63746,999,7259,-.11084048E-3,-.1066E-4,0
KUIPER-00034,2025-088Z,2026-08-25T06:09:40.347072,14.79933753,.000066,51.9021,62.7152,116.1287,243.9744,0,U,63747,999,7278,.13696E-3,.823E-5,0
KUIPER-00035,2025-088AA,2026-08-25T13:37:04.136736,14.79917754,.0000767,51.9007,86.3098,104.3123,255.7925,0,U,63748,999,7253,.10752E-3,.598E-5,0
KUIPER-00037,2025-088AB,2026-08-25T06:57:53.665344,14.79927556,.00006366,51.9006,86.3951,103.1144,256.9889,0,U,63749,999,7329,.16573882E-3,.1042E-4,0
KUIPER-00038,2025-088AC,2026-08-25T06:42:44.846208,14.79936340,.0000913,51.9020,72.6129,117.8961,242.2094,0,U,63750,999,7248,.14997E-3,.922E-5,0
KUIPER-00039,2025-134A,2026-08-25T07:40:30.396000,14.79931179,.00006878,51.8995,207.4331,54.8254,305.2772,0,U,64500,999,6504,.35911492E-3,.2517E-4,0
KUIPER-00040,2025-134B,2026-08-25T22:48:45.970848,14.79931704,.00007704,51.8977,214.7103,43.6463,316.4560,0,U,64501,999,6499,.36879762E-3,.2591E-4,0
KUIPER-00041,2025-134C,2026-08-25T21:56:15.095904,14.79938738,.00006957,51.8973,217.2608,58.2199,301.8831,0,U,64502,999,6495,.36052672E-3,.2529E-4,0
KUIPER-00042,2025-134D,2026-08-25T22:52:38.357472,14.79948829,.00006848,51.8971,212.0659,64.6484,295.4549,0,U,64503,999,6503,.38216655E-3,.2694E-4,0
KUIPER-00043,2025-134E,2026-08-25T23:04:16.735584,14.79926537,.00007432,51.8990,204.5375,55.6771,304.4262,0,U,64504,999,6514,-.73562624E-4,-.782E-5,0
KUIPER-00044,2025-134F,2026-08-25T22:44:52.988928,14.79945699,.00006976,51.8978,217.0927,41.4210,318.6805,0,U,64505,999,6496,.37174182E-3,.2615E-4,0
KUIPER-00046,2025-134G,2026-08-25T15:31:08.927040,14.79926564,.00004964,51.8965,215.8984,64.1766,295.9247,0,U,64506,999,6495,-.20343998E-3,-.1771E-4,0
KUIPER-00047,2025-134H,2026-08-25T07:19:03.049824,14.79927309,.00007987,51.8984,189.9360,67.5086,292.5961,0,U,64507,999,6528,.43069977E-3,.3063E-4,0
KUIPER-00048,2025-134J,2026-08-25T21:05:36.012192,14.79949074,.00008344,51.8977,187.4101,61.7886,298.3160,0,U,64508,999,6537,.41475944E-3,.2943E-4,0
KUIPER-00049,2025-134K,2026-08-25T03:45:08.100864,14.79929895,.0000836,51.8992,203.0736,95.6864,264.4194,0,U,64509,999,6509,-.10826E-3,-.1046E-4,0
KUIPER-00050,2025-134L,2026-08-25T05:49:35.342688,14.79933995,.000091,51.8992,185.2135,63.2305,296.8750,0,U,64510,999,6535,.42675E-3,.3034E-4,0
KUIPER-00051,2025-134M,2026-08-25T14:31:19.915968,14.79937457,.0000744,51.8996,199.7876,75.5373,284.5671,0,U,64511,999,6517,.39148E-3,.2765E-4,0
KUIPER-00053,2025-134P,2026-08-25T21:54:36.152352,14.81748494,.00019502,51.8995,193.1490,58.3116,301.8037,0,U,64513,999,6529,.32582927E-3,.237E-4,0
KUIPER-00054,2025-134Q,2026-08-25T21:01:43.753440,14.79927981,.00007951,51.9002,189.8978,65.5576,294.5470,0,U,64514,999,6533,.38266445E-3,.2697E-4,0
KUIPER-00055,2025-134R,2026-08-25T18:12:25.572384,14.79932600,.00009777,51.8989,143.0621,80.0351,280.0721,0,U,64515,999,6598,.421159E-3,.2991E-4,0
KUIPER-00056,2025-134S,2026-08-25T21:42:37.337184,14.79924275,.00008168,51.9008,194.8821,61.5795,298.5250,0,U,64516,999,6527,.41303077E-3,.2928E-4,0
KUIPER-00057,2025-134T,2026-08-25T21:30:54.753120,14.79930231,.00008525,51.8999,202.3385,69.7150,290.3904,0,U,64517,999,6516,.37315705E-3,.2624E-4,0
KUIPER-00058,2025-134U,2026-08-25T20:50:02.867136,14.79956768,.00008867,51.8988,197.4389,79.0214,281.0848,0,U,64518,999,6523,.11690762E-2,.8708E-4,0
KUIPER-00059,2025-134V,2026-08-25T20:57:51.696864,14.79931631,.00007967,51.8993,192.4523,66.6521,293.4525,0,U,64519,999,6530,.42109002E-3,.299E-4,0
KUIPER-00060,2025-134W,2026-08-25T21:46:28.852032,14.79930163,.00008042,51.9013,192.3767,62.9387,297.1657,0,U,64520,999,6529,-.2236558E-3,-.1926E-4,0
KUIPER-00061,2025-134X,2026-08-25T14:17:13.011072,14.79946727,.0000855,51.8997,201.2019,53.1573,306.9468,0,U,64521,999,6514,.73223E-4,.337E-5,0
KUIPER-00062,2025-134Y,2026-08-25T22:19:31.998144,14.79925274,.00008626,51.8953,202.1768,50.9550,309.1489,0,U,64522,999,6517,.9010286E-5,-.152E-5,0
KUIPER-00063,2025-134Z,2026-08-25T22:07:55.718688,14.79939620,.00005947,51.9010,209.7942,82.4411,277.6619,0,U,64523,999,6506,.3743701E-3,.2634E-4,0
KUIPER-00064,2025-134AA,2026-08-25T22:11:46.547520,14.79932127,.0000846,51.9013,207.2080,49.2490,310.8545,0,U,64524,999,6510,-.9915304E-5,-.297E-5,0
KUIPER-00065,2025-134AB,2026-08-25T22:04:02.553600,14.79931646,.00006625,51.9022,212.4055,71.4517,288.6518,0,U,64525,999,6501,.3950527E-3,.2792E-4,0
KUIPER-00066,2025-134AC,2026-08-25T03:25:34.529664,14.79930916,.00009404,51.9018,153.1115,89.7123,270.3947,0,U,64526,999,6579,.50313038E-3,.3616E-4,0
KUIPER-00069,2025-151A,2026-08-25T06:26:44.747808,14.79932431,.00005544,51.8999,255.1948,77.7882,282.3142,0,U,64816,999,6172,.31137924E-3,.2153E-4,0
KUIPER-00070,2025-151B,2026-08-25T08:13:43.513536,14.79922850,.00007026,51.8989,279.7684,63.7944,296.3091,0,U,64817,999,6139,-.84682915E-4,-.866E-5,0
KUIPER-00071,2025-151C,2026-08-25T08:17:39.288768,14.79930637,.00003088,51.9005,277.3025,61.4800,298.6194,0,U,64818,999,6024,.29807042E-3,.2052E-4,0
KUIPER-00072,2025-151D,2026-08-25T17:43:31.768896,14.79926586,.00003861,51.8957,255.4943,38.2220,321.8770,0,U,64819,999,6058,.31218851E-3,.2159E-4,0
KUIPER-00073,2025-151E,2026-08-25T07:29:00.967200,14.79929941,.00003337,51.8999,277.4310,56.8733,303.2261,0,U,64820,999,6142,.30127154E-3,.2076E-4,0
KUIPER-00075,2025-151G,2026-08-25T15:34:38.904960,15.38411493,.00050414,51.8604,117.2372,118.5702,241.5793,0,U,64822,999,6249,.61889735E-3,.23503E-3,0
KUIPER-00076,2025-151H,2026-08-25T10:59:02.318208,14.79937597,.0000358,51.9000,266.8083,51.3735,308.7260,0,U,64823,999,6040,.28066804E-3,.1919E-4,0
KUIPER-00077,2025-151J,2026-08-25T09:14:02.985792,14.79924550,.00003885,51.9007,272.1523,60.9581,299.1420,0,U,64824,999,6032,.30447163E-3,.21E-4,0
