OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ONEWEB-0012,2019-010A,2026-08-25T22:37:01.689024,13.16596642,.00022087,87.9097,214.9272,98.7385,261.3996,0,U,44057,999,36074,.10988634E-3,.55E-6,0
ONEWEB-0010,2019-010B,2026-08-25T21:24:05.528160,13.16595370,.00022237,87.9107,214.9351,78.0233,282.1147,0,U,44058,999,36078,-.10480495E-3,-.27E-6,0
ONEWEB-0008,2019-010C,2026-08-25T22:00:33.472512,13.16594641,.00016801,87.9107,214.9249,88.9914,271.1409,0,U,44059,999,36090,.1195432E-3,.59E-6,0
ONEWEB-0007,2019-010D,2026-08-25T11:24:12.128832,13.15550335,.00023075,87.8955,245.4058,91.1312,269.0083,0,U,44060,999,36048,.45829424E-3,.185E-5,0
ONEWEB-0006,2019-010E,2026-08-25T02:22:18.991488,13.15548638,.00019632,87.8969,245.4524,85.3663,274.7692,0,U,44061,999,36048,.12290374E-3,.59E-6,0
ONEWEB-0011,2019-010F,2026-08-25T10:44:17.827584,13.15548902,.00019174,87.8965,245.3934,84.6571,275.4778,0,U,44062,999,36052,-.20168581E-3,-.63E-6,0
ONEWEB-0013,2020-008A,2026-08-25T16:53:27.012768,13.09460173,.00020942,87.8514,38.7855,121.8747,238.2584,0,U,45131,999,31516,-.16669513E-2,-.562E-5,0
ONEWEB-0017,2020-008B,2026-08-25T20:48:18.838944,13.10371769,.00016671,87.8864,22.3856,91.9130,268.2189,0,U,45132,999,31707,.10812774E-2,.39E-5,0
ONEWEB-0020,2020-008C,2026-08-25T20:04:18.012576,13.10376929,.00017149,87.8883,22.3933,96.1818,263.9505,0,U,45133,999,31746,.17751071E-3,.75E-6,0
ONEWEB-0021,2020-008D,2026-08-25T20:26:19.280256,13.10373001,.00018706,87.8860,22.4015,95.8794,264.2546,0,U,45134,999,31777,.17436464E-2,.621E-5,0
ONEWEB-0023,2020-008F,2026-08-25T20:42:12.760416,13.10371722,.00016051,87.8862,22.3851,104.0588,256.0718,0,U,45136,999,31720,.13165832E-2,.472E-5,0
ONEWEB-0024,2020-008G,2026-08-25T16:22:09.794784,13.10375807,.00017564,87.8884,22.4184,94.0473,266.0855,0,U,45137,999,31734,-.59223996E-4,-.8E-7,0
ONEWEB-0025,2020-008H,2026-08-25T20:01:39.433152,13.10376388,.00012881,87.8881,22.3776,87.7735,272.3539,0,U,45138,999,31769,-.18254182E-3,-.51E-6,0
ONEWEB-0026,2020-008J,2026-08-25T14:07:49.397088,13.11417037,.0001816,87.8945,7.2595,94.5900,265.5435,0,U,45139,999,32020,.1613E-2,.584E-5,0
ONEWEB-0028,2020-008K,2026-08-25T19:00:23.587488,13.11420051,.00018605,87.8942,7.2240,113.8081,246.3243,0,U,45140,999,31774,-.72785846E-3,-.245E-5,0
ONEWEB-0032,2020-008L,2026-08-25T20:50:56.564736,13.10370322,.00017665,87.8865,22.3877,112.9581,247.1733,0,U,45141,999,31742,.78604478E-3,.287E-5,0
ONEWEB-0033,2020-008M,2026-08-25T20:14:05.212896,13.10376562,.00018706,87.8871,22.3970,79.0898,281.0440,0,U,45142,999,31733,.1021595E-2,.369E-5,0
ONEWEB-0035,2020-008N,2026-08-25T20:43:37.764192,13.10369342,.00018601,87.8862,22.3867,97.0117,263.1222,0,U,45143,999,31706,.11730729E-2,.422E-5,0
ONEWEB-0036,2020-008P,2026-08-25T20:11:26.647296,13.10375288,.00016935,87.8878,22.4154,101.7368,258.3950,0,U,45144,999,31748,.81915796E-3,.299E-5,0
ONEWEB-0038,2020-008Q,2026-08-25T19:52:04.438560,13.11414259,.00034187,87.8955,7.2309,94.2163,265.9356,0,U,45145,999,31945,.65824332E-3,.246E-5,0
ONEWEB-0039,2020-008R,2026-08-25T09:19:15.639744,13.10374172,.00019594,87.8867,22.4806,109.6672,250.4667,0,U,45146,999,31722,.1664325E-2,.594E-5,0
ONEWEB-0040,2020-008S,2026-08-25T20:09:12.378240,13.10376256,.00014898,87.8861,22.3989,98.9727,261.1569,0,U,45147,999,31698,.64224674E-3,.237E-5,0
ONEWEB-0043,2020-008U,2026-08-25T09:12:07.882848,13.10375488,.00018813,87.8873,22.4829,111.3996,248.7333,0,U,45149,999,31724,.12155965E-2,.437E-5,0
ONEWEB-0044,2020-008V,2026-08-25T20:53:11.122368,13.10369492,.00016052,87.8867,22.3878,88.8068,271.3243,0,U,45150,999,31760,.85120545E-3,.31E-5,0
