OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1008,2019-074B,2026-08-25T07:25:17.368320,15.61658596,0.0004512,53.1481,94.989,83.0713,277.0814,0,U,44714,999,37497,0.00095196,0.00083892,0.0
STARLINK-1012,2019-074F,2026-08-25T04:12:39.412224,15.62037152,0.0001297,53.1505,95.9177,149.0192,211.0899,0,U,44718,999,37494,0.00095011,0.00084953,0.0
STARLINK-1017,2019-074L,2026-08-25T08:44:34.864224,15.37296117,8.23e-05,53.0451,105.0561,177.0889,183.0118,0,U,44723,999,37480,0.0011842,0.00043774,0.0
STARLINK-1020,2019-074N,2026-08-25T01:29:20.121216,15.67251076,0.00016041,53.1512,117.5478,106.6442,253.4751,0,U,44725,999,37461,0.00040577305,0.0004411,0.0
STARLINK-1036,2019-074AE,2026-08-24T14:25:54.986304,15.84264666,0.00024343,53.0384,78.1756,177.7281,182.3753,0,U,44741,999,37510,0.00048741604,0.00113559,0.0
STARLINK-1039,2019-074AH,2026-08-25T11:42:26.776224,15.33761778,0.0002548,53.057,151.7031,51.1132,309.0096,0,U,44744,999,37416,0.0011094,0.0003654,0.0
STARLINK-1042,2019-074AL,2026-08-25T08:17:34.190304,15.5958704,0.0002911,53.038,0.4569,343.7148,16.377,0,U,44747,999,37629,0.00096742,0.00078658,0.0
STARLINK-1043,2019-074AM,2026-08-25T00:35:02.315040,15.70840482,0.00029466,53.0456,92.3527,124.1312,235.9985,0,U,44748,999,37495,0.00042176131,0.00053321,0.0
STARLINK-1046,2019-074AQ,2026-08-24T01:29:57.490944,15.68635654,0.00011979,53.0432,121.8671,130.9122,229.1998,0,U,44751,999,37445,0.00041464617,0.00047757,0.0
STARLINK-1047,2019-074AR,2026-08-24T20:16:53.178816,15.37655253,0.00017122,53.0668,77.9825,46.144,313.9704,0,U,44752,999,37516,0.00026721186,9.646e-05,0.0
STARLINK-1048,2019-074AS,2026-08-25T12:23:42.842976,15.75922646,0.0002567,53.0414,58.9787,311.3766,48.7032,0,U,44753,999,37545,0.00045717,0.00072196,0.0
STARLINK-1063,2019-074BH,2026-08-25T10:46:14.784672,15.58349777,0.0005091,53.1505,136.0747,89.1906,270.969,0,U,44768,999,37442,0.0010209,0.00079243,0.0
STARLINK-1067,2019-074BL,2026-08-25T14:00:01.999008,15.98187889,0.0002596,53.0344,82.2596,205.6498,230.2108,0,U,44771,999,603,0.0005897,0.00276543,4.2357e-05
STARLINK-1068,2019-074BM,2026-08-25T14:00:01.999008,15.91353416,0.0001716,53.0336,57.7608,193.5202,34.4898,0,U,44772,999,601,0.00056093,0.00181036,2.3227e-05
STARLINK-1114,2020-001P,2026-08-25T12:16:26.283648,15.79028404,0.0006602,53.0353,220.5199,54.4278,305.7357,0,U,44927,999,36653,0.00045754,0.00083246,0.0
STARLINK-1123,2020-001S,2026-08-25T12:40:04.898208,15.67346878,4.03e-05,53.137,253.9356,190.0572,170.0437,0,U,44930,999,36609,0.00045293,0.00049529,0.0
STARLINK-1094,2020-001AD,2026-08-25T10:16:28.087104,15.64895215,0.0003217,53.1453,231.761,11.3325,348.7763,0,U,44941,999,36640,0.00039906,0.00039403,0.0
STARLINK-1122,2020-001AM,2026-08-25T06:13:00.349248,15.64575593,0.0002769,53.1481,233.3469,27.3115,332.8046,0,U,44949,999,36636,0.00045365,0.00044322,0.0
STARLINK-1080,2020-001AZ,2026-08-25T06:28:26.561568,15.76434986,0.0004545,53.0433,182.925,65.7074,294.4419,0,U,44961,999,36704,0.00050282,0.00081411,0.0
STARLINK-1090,2020-001BG,2026-08-25T12:27:33.605280,15.59903777,0.0001928,53.1424,222.1261,38.7741,321.341,0,U,44968,999,36654,0.0004945,0.00040243,0.0
STARLINK-1132,2020-006A,2026-08-25T01:57:31.042656,15.7083316,0.00026999,53.1472,160.6236,140.8709,219.2505,0,U,45044,999,36314,0.0003853912,0.00048622,0.0
STARLINK-1131,2020-006D,2026-08-25T03:24:05.949792,15.64694352,0.0004991,53.1485,195.9155,68.8967,291.2582,0,U,45047,999,36265,0.00043807,0.00042994,0.0
STARLINK-1134,2020-006E,2026-08-25T11:11:31.496064,15.66716601,0.000561,53.0202,140.381,27.4212,332.7098,0,U,45048,999,36342,0.00046661,0.00049784,0.0
STARLINK-1156,2020-006L,2026-08-25T08:23:45.655872,15.41351125,0.0002186,53.1527,212.0392,42.7555,317.362,0,U,45054,999,36244,0.0010972,0.00046348,0.0
STARLINK-1166,2020-006S,2026-08-25T11:38:20.805792,15.75271261,0.0002037,53.0387,170.7156,154.4564,205.6555,0,U,45060,999,36300,0.00050031,0.00076874,0.0
STARLINK-1169,2020-006T,2026-08-25T07:45:36.521568,15.45626177,0.0002646,53.1507,208.6334,78.1779,281.9525,0,U,45061,999,36249,0.00077728,0.00037797,0.0
STARLINK-1171,2020-006U,2026-08-25T14:00:01.999008,15.88999825,0.0003847,53.0318,128.5989,132.6143,41.268,0,U,45062,999,602,0.00067368,0.0020037,0.0
STARLINK-1133,2020-006W,2026-08-25T06:16:22.039680,15.41211615,0.0001798,53.1531,189.2879,61.3972,298.7214,0,U,45064,999,36276,0.0010961,0.00046087,0.0
STARLINK-1167,2020-006AD,2026-08-25T04:31:57.808992,15.44235384,0.000395,53.1527,187.1528,98.1902,261.9553,0,U,45071,999,36278,0.0011151,0.00051979,0.0
STARLINK-1168,2020-006AE,2026-08-25T03:38:25.685952,15.41875142,0.00020006,53.1533,189.736,60.0901,300.0304,0,U,45072,999,36274,0.0010283584,0.00044172,0.0
STARLINK-1172,2020-006AG,2026-08-25T05:21:14.780736,15.45368417,0.0003471,53.1506,185.7277,89.0187,271.1218,0,U,45074,999,36280,0.0011061,0.00053607,0.0
STARLINK-1153,2020-006AN,2026-08-25T07:10:16.290624,15.4433901,0.0003883,53.153,186.5254,112.5099,247.6319,0,U,45080,999,36280,0.00102,0.00047654,0.0
STARLINK-1185,2020-006AV,2026-08-25T03:47:09.910176,15.5469968,0.0002391,53.1537,162.0441,76.0309,284.0968,0,U,45087,999,36313,0.001017,0.00068771,0.0
