OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CALSPHERE 1,1964-063C,2026-08-21T12:04:58.228608,13.76682790,.00279507,90.2177,73.2887,93.8150,297.9689,0,U,900,999,8041,.45399908E-3,.456E-5,0
CALSPHERE 2,1964-063E,2026-08-21T13:24:30.329568,13.52904506,.00199583,90.2296,77.3406,42.1832,17.0850,0,U,902,999,86510,.18767256E-4,.21E-6,0
LCS 1,1965-034C,2026-08-21T12:06:14.383296,9.89310581,.00118035,32.1457,21.9366,352.9011,7.1318,0,U,1361,999,21635,-.10777146E-2,0,0
TEMPSAT 1,1965-065E,2026-08-21T10:21:37.270368,13.33597197,.00716041,90.0013,212.5989,66.0967,87.2354,0,U,1512,999,96874,.62824406E-4,.41E-6,0
CALSPHERE 4A,1965-065H,2026-08-21T10:35:19.580640,13.36287959,.00679922,89.8950,121.8398,280.1854,129.4832,0,U,1520,999,97142,.10269308E-3,.62E-6,0
OPS 5712 (P/L 160),1967-053A,2026-08-21T13:20:00.466080,14.78441494,.00044945,69.9148,237.9728,285.7900,74.2753,0,U,2826,999,7589,.82856359E-3,.5978E-4,0
LES-5,1967-066E,2026-08-21T04:40:50.181600,1.09425155,.00514613,2.7695,94.4657,214.4423,79.2414,0,U,2866,999,13174,0,-.56E-6,0
SURCAL 159,1967-053F,2026-08-21T09:46:51.840480,13.99615308,.00060303,69.9719,220.3828,6.3470,353.7713,0,U,2872,999,1933,.78104125E-4,.6E-6,0
OPS 5712 (P/L 153),1967-053H,2026-08-21T06:54:05.953824,13.96836474,.00048695,69.9762,335.7671,122.4389,237.7188,0,U,2874,999,1588,.51118157E-4,.18E-6,0
RIGIDSPHERE 2 (LCS 4),1971-067E,2026-08-21T14:33:45.353952,14.37937795,.00602646,87.6246,320.6532,18.0647,342.2674,0,U,5398,999,88328,.13424472E-3,.432E-5,0
OSCAR 7 (AO-7),1974-089B,2026-08-21T00:25:25.305600,12.53699147,.00122982,101.9919,246.9420,9.4911,47.9894,0,U,7530,999,36864,.14599364E-4,-.44E-6,0
STARLETTE,1975-010A,2026-08-21T10:38:01.151232,13.82351506,.02057466,49.8234,207.0174,278.6339,79.1296,0,U,7646,999,60356,.9786526E-5,-.128E-5,0
LAGEOS 1,1976-039A,2026-08-20T21:49:36.704640,6.38664808,.00446397,109.8110,201.4827,288.3851,84.9380,0,U,8820,999,91727,0,.1E-6,0
PHASE 3B (AO-10),1983-058B,2026-08-16T02:09:27.219168,2.05870758,.59911271,25.9620,209.7344,132.1114,297.2673,0,U,14129,999,29672,0,-.27E-6,0
UOSAT 2 (UO-11),1984-021B,2026-08-20T22:07:33.647808,14.90932653,.0007031,97.8123,197.8016,341.8951,18.2015,0,U,14781,999,26677,.14828265E-3,.1408E-4,0
AJISAI (EGS),1986-061A,2026-08-21T14:30:47.934144,12.44516943,.00111794,50.0110,306.2412,347.2344,168.0641,0,U,16908,999,48853,.96942589E-4,-.84E-6,0
TDRS 3,1988-091B,2026-08-21T04:29:51.234720,1.00267921,.00370356,12.5532,340.5644,353.6588,13.8110,0,U,19548,999,12604,0,-.298E-5,0
COSMOS 1989 (ETALON 1),1989-001C,2026-08-20T22:28:02.160768,2.13156142,.00233809,64.9859,69.9824,217.4178,113.1980,0,U,19751,999,29274,0,-.6E-7,0
COSMOS 2024 (ETALON 2),1989-039C,2026-08-20T09:02:57.446592,2.13204727,.00208409,64.8914,308.3227,212.2606,218.1258,0,U,20026,999,28987,0,-.65E-6,0
FLTSATCOM 8 (USA 46),1989-077A,2026-08-20T17:21:04.340160,1.00264591,.00016225,12.4043,350.7648,148.7244,215.4454,0,U,20253,999,26121,0,-.368E-5,0
LUSAT (LO-19),1990-005G,2026-08-21T11:38:27.966624,14.34138832,.00118453,98.8843,257.0853,20.0738,340.0909,0,U,20442,999,91175,.39958438E-4,.65E-6,0
HST,1990-037B,2026-08-21T14:02:20.501664,15.31409223,.00021292,28.4737,353.3745,139.4430,220.6325,0,U,20580,999,79860,.18794691E-3,.6103E-4,0
TDRS 5,1991-054B,2026-08-20T11:45:21.408768,1.00270896,.00076194,14.0634,353.2947,248.3904,95.8261,0,U,21639,999,12835,0,.83E-6,0
LAGEOS 2,1992-070B,2026-08-21T09:32:35.938752,6.47294115,.01380238,52.6389,225.4441,215.8899,299.2311,0,U,22195,999,79964,0,-.9E-7,0
TDRS 6,1993-003B,2026-08-21T04:30:43.651008,1.00266220,.001006,14.1845,356.5663,194.0580,160.5945,0,U,22314,999,12305,0,-.297E-5,0
SCD 1,1993-009B,2026-08-21T00:56:59.572896,14.46141575,.00421525,24.9684,167.1436,104.4126,346.5997,0,U,22490,999,77051,.5367276E-4,.382E-5,0
UFO 2 (USA 95),1993-056A,2026-08-21T11:42:41.579136,1.00267701,.00007323,11.9181,3.1818,255.0944,275.9194,0,U,22787,999,11920,0,.124E-5,0
STELLA,1993-061B,2026-08-21T14:21:19.374624,14.27471962,.00072302,98.7672,298.0675,52.9533,53.5842,0,U,22824,999,71410,-.1678901E-5,-.49E-6,0
EYESAT A (AO-27),1993-061C,2026-08-21T04:02:40.532352,14.30956466,.0007231,98.6830,300.5422,269.4520,90.5834,0,U,22825,999,71629,.38377605E-4,.56E-6,0
ITAMSAT (IO-26),1993-061D,2026-08-21T09:47:43.627776,14.31384907,.00078057,98.6778,300.7060,249.2129,110.8217,0,U,22826,999,71664,.39295344E-4,.59E-6,0
RADIO ROSTO (RS15),1994-085A,2026-08-21T07:15:31.115808,11.27584106,.0158346,64.8146,197.9034,352.0355,7.8060,0,U,23439,999,30324,.68650797E-3,-.18E-6,0
UFO 4 (USA 108),1995-003A,2026-08-21T02:53:38.691744,1.00273701,.00027309,9.6782,12.8678,135.7241,36.4968,0,U,23467,999,11560,0,-.24E-6,0
TDRS 7,1995-035B,2026-08-20T18:53:21.653088,1.00265115,.0012499,13.3104,347.7362,91.7884,261.8147,0,U,23613,999,11389,0,-.236E-5,0
USA 115 (MILSTAR-1 2),1995-060A,2026-08-21T07:43:27.927264,1.00275516,.00065538,14.0965,3.2518,140.9137,211.3465,0,U,23712,999,3353,0,-.204E-5,0
POLAR,1996-013A,2026-08-20T17:41:48.068160,1.29845853,.65359505,79.9480,226.2792,206.8649,94.2836,0,U,23802,999,14569,0,.229E-5,0
INMARSAT 3-F1,1996-020A,2026-08-21T03:57:24.347232,0.99994836,.00059021,10.7333,46.0163,129.8222,50.2776,0,U,23839,999,11090,0,.86E-6,0
USA 119,1996-029A,2026-08-21T09:35:12.172416,13.46464715,.08544083,63.3192,21.3862,50.2344,317.0825,0,U,23893,999,11405,.15276609E-3,.855E-5,0
JAS-2 (FO-29),1996-046B,2026-08-21T03:35:40.337088,13.53276921,.03488343,98.5192,73.1170,287.9212,68.4188,0,U,24278,999,48195,.24204469E-4,-.15E-6,0
INMARSAT 3-F2,1996-053A,2026-08-21T11:58:02.606592,0.99975699,.00058569,10.0003,53.2528,93.3870,85.5270,0,U,24307,999,10957,0,-.108E-5,0
INMARSAT 3-F3,1996-070A,2026-08-21T08:02:33.595584,0.99999385,.00048157,10.4556,49.0070,128.4539,250.2857,0,U,24674,999,10856,0,-.22E-5,0
NAVSTAR 43 (USA 132),1997-035A,2026-08-20T00:28:47.349408,2.00564262,.01051932,56.0300,96.0797,58.3582,302.7386,0,U,24876,999,21323,0,-.42E-6,0
FORTE,1997-047A,2026-08-21T09:07:35.292576,14.27966632,.00225624,69.9509,226.7627,196.8917,163.1456,0,U,24920,999,50799,.73041994E-4,.124E-5,0
USA 134,1997-065A,2026-08-21T10:28:38.695008,1.00273861,.0001618,12.8610,21.2191,303.9611,49.6835,0,U,25019,999,3360,0,-.68E-6,0
ORBCOMM FM06,1997-084G,2026-08-21T09:04:45.946848,14.47696306,.00004014,45.0135,98.8435,347.9838,181.4656,0,U,25118,999,50383,.32010099E-3,.1047E-4,0
INMARSAT 3-F5,1998-006B,2026-08-21T09:36:19.300032,1.00276349,.00046055,9.8346,52.5901,92.4845,274.7093,0,U,25153,999,10455,0,-.296E-5,0
ORBCOMM FM04,1998-007C,2026-08-21T02:52:06.041568,14.35829644,.00417248,107.9615,303.0650,214.4552,145.3882,0,U,25159,999,48591,.25509421E-3,.614E-5,0
CELESTIS-02 & TAURUS R/B,1998-007D,2026-08-21T15:23:01.866912,14.22500792,.00614813,108.0109,104.5110,19.6934,353.6765,0,U,25160,999,47982,.3967063E-4,-.4E-6,0
TECHSAT 1B (GO-32),1998-043D,2026-08-21T11:02:54.721248,14.24439030,.00020732,99.0125,227.8814,56.1948,303.9427,0,U,25397,999,46062,.37023272E-4,.39E-6,0
WESTPAC,1998-043E,2026-08-20T22:52:57.013824,14.23056415,.00020557,99.0202,220.5527,53.1329,307.0037,0,U,25398,999,46015,.1365221E-4,-.16E-6,0
ORBCOMM FM19,1998-046C,2026-08-21T14:41:42.185184,14.39599705,.00056013,44.9939,292.5457,264.7716,251.5845,0,U,25415,999,46620,.23775001E-3,.607E-5,0
ORBCOMM FM20,1998-046D,2026-08-21T14:11:16.573056,14.38143925,.00028658,44.9945,301.2963,249.2214,110.8328,0,U,25416,999,46620,.17270937E-3,.386E-5,0
ORBCOMM FM27,1998-053G,2026-08-21T10:31:28.561728,14.39241008,.00016206,45.0062,25.4025,187.3414,172.7412,0,U,25481,999,45963,.28048161E-3,.735E-5,0
SCD 2,1998-060A,2026-08-21T14:50:42.974016,14.45545170,.00169618,24.9962,28.6378,94.4329,350.8585,0,U,25504,999,46980,.4099835E-4,.329E-5,0
ISS (ZARYA),1998-067A,2026-08-21T12:47:44.736288,15.49551867,.00076729,51.6331,336.6713,69.9303,290.2511,0,U,25544,999,58188,.16558344E-3,.8864E-4,0
SWAS,1998-071A,2026-08-21T11:22:35.650272,15.09956217,.00053715,69.8953,59.1114,185.7084,174.4020,0,U,25560,999,50712,.18412658E-3,.2891E-4,0
ISS (UNITY),1998-069F,2026-08-21T12:47:44.736288,15.49551867,.00076729,51.6331,336.6713,69.9303,290.2511,0,U,25575,999,58174,.16558344E-3,.8864E-4,0
DLR-TUBSAT,1999-029B,2026-08-21T06:09:39.891744,14.52440149,.00147744,98.6747,230.9173,148.3711,211.8374,0,U,25757,999,44269,.29805572E-4,.73E-6,0
CXO,1999-040B,2026-08-23T11:46:36.980256,0.37795878,.77300191,57.0730,114.9247,309.6147,0.5939,0,U,25867,999,1757,0,.892E-5,0
ABS-6,1999-053A,2026-08-21T13:51:38.655072,1.00274633,.00033564,0.0692,266.2348,230.4338,200.1477,0,U,25924,999,9849,0,-.121E-5,0
NAVSTAR 46 (USA 145),1999-055A,2026-08-21T02:40:52.349664,2.00559125,.01055838,51.4034,292.6231,178.9769,181.8528,0,U,25933,999,19688,0,-.44E-6,0
UFO 10 (USA 146),1999-063A,2026-08-21T06:19:55.680960,1.00272616,.00030774,9.8837,26.8528,174.8419,200.0928,0,U,25967,999,9800,0,-.19E-5,0
ORBCOMM FM32,1999-065C,2026-08-21T08:31:35.718528,14.37209339,.00062335,45.0139,224.7544,359.6204,0.4639,0,U,25982,999,39646,.23721159E-3,.571E-5,0
XMM-NEWTON,1999-066A,2026-08-21T04:10:35.865408,0.50126869,.46558999,64.1398,282.1442,63.7323,0.0747,0,U,25989,999,2332,0,.89E-6,0
TERRA,1999-068A,2026-08-21T15:26:01.274784,14.61146410,.00030718,97.9407,280.5778,49.2746,119.4135,0,U,25994,999,41916,.64991017E-4,.275E-5,0
ASIASTAR,2000-016A,2026-08-21T12:04:17.008896,1.00273412,.00039517,9.2778,57.4360,88.7646,109.7076,0,U,26107,999,9657,0,-.339E-5,0
IMAGE,2000-017A,2026-08-14T09:06:39.734784,1.68667794,.7393663,94.2716,316.1184,281.2715,10.9228,0,U,26113,999,16248,0,.45E-6,0
USA 149 (DSP 20),2000-024A,2026-08-21T02:21:38.606400,1.00275148,.00005151,13.2193,11.3776,218.4999,329.5822,0,U,26356,999,3356,0,.92E-6,0
TDRS 8,2000-034A,2026-08-21T10:15:57.479040,1.00275555,.00025751,12.7847,30.7539,71.2864,106.4574,0,U,26388,999,9583,0,-.2E-5,0
ISS (ZVEZDA),2000-037A,2026-08-21T12:47:44.736288,15.49551867,.00076729,51.6331,336.6713,69.9303,290.2511,0,U,26400,999,58178,.16558344E-3,.8864E-4,0
NAVSTAR 48 (USA 151),2000-040A,2026-08-20T20:44:26.003904,2.00558236,.0119318,54.8438,212.5942,303.3141,239.4181,0,U,26407,999,19124,0,.61E-6,0
CLUSTER II-FM7 (SAMBA),2000-041A,2026-08-16T08:33:20.293632,0.44877167,.9119992,149.5559,61.8704,279.7536,359.6603,0,U,26410,999,2057,0,.204628E-2,-.13535E-2
CLUSTER II-FM8 (TANGO),2000-045B,2026-08-17T04:58:33.502080,0.44464409,.9123134,149.7044,63.2380,280.9873,2.0812,0,U,26464,999,2058,0,.166053E-2,-.10922E-2
NSS-11,2000-059A,2026-08-21T03:51:24.922368,1.00273636,.00030737,2.2887,80.5749,74.3078,48.4624,0,U,26554,999,4194,0,.22E-6,0
USA 153,2000-065A,2026-08-21T07:04:51.373056,1.00275912,.0001888,11.7349,34.8637,106.2190,69.1456,0,U,26575,999,3358,0,-.329E-5,0
AMC-6,2000-067A,2026-08-21T10:55:53.566176,1.00272526,.00042127,0.3139,83.9972,63.4906,211.1978,0,U,26580,999,9454,0,.86E-6,0
NAVSTAR 49 (USA 154),2000-071A,2026-08-20T02:39:59.999904,2.00562926,.01741245,55.6611,92.4288,266.9770,17.9564,0,U,26605,999,18879,0,-.42E-6,0
ISS (DESTINY),2001-006B,2026-08-21T12:47:44.736288,15.49551867,.00076729,51.6331,336.6713,69.9303,290.2511,0,U,26700,999,58182,.16558344E-3,.8864E-4,0
USA 157 (MILSTAR-2 2),2001-009A,2026-08-21T02:13:38.658720,1.00267395,.00419028,11.6131,19.3461,178.2915,15.2509,0,U,26715,999,3359,0,.106E-5,0
BSAT-2A,2001-011B,2026-08-21T04:49:11.881344,0.99179573,.00053445,10.8677,46.8724,179.0811,194.9234,0,U,26720,999,9262,0,-.65E-6,0
OMNI-M1,2001-026A,2026-08-20T04:22:11.311968,3.92402822,.00136649,44.8163,230.5144,63.4675,296.7001,0,U,26857,999,20808,0,.17E-6,0
INTELSAT 902 (IS-902),2001-039A,2026-08-21T11:20:06.244800,1.00271399,.00041707,6.2763,70.9606,80.4357,298.3302,0,U,26900,999,9135,0,-.288E-5,0
PCSAT (NO-44),2001-043C,2026-08-20T23:24:30.972672,14.31976333,.00056376,67.0496,76.6978,269.8366,90.2090,0,U,26931,999,29972,.54910945E-4,.64E-6,0
PROBA-1,2001-049B,2026-08-21T13:52:19.451424,15.07738695,.00532593,97.9620,244.4113,261.7893,97.7291,0,U,26958,999,35347,.1597293E-3,.2446E-4,0
TIMED,2001-055B,2026-08-21T15:20:30.493248,14.95414261,.00023602,74.0665,103.2218,259.7168,100.3750,0,U,26998,999,34060,.79462664E-4,.838E-5,0
MAROC-TUBSAT,2001-056D,2026-08-21T08:43:09.056928,13.70264752,.00195159,99.8126,51.4668,338.3808,139.2915,0,U,27004,999,23511,.31077924E-4,-.19E-6,0
COSMOS 2385,2001-058B,2026-08-21T15:19:23.591136,12.60566387,.00075157,82.5398,177.9992,84.6120,89.9989,0,U,27056,999,13402,.37581898E-3,.76E-6,0
COSMOS 2386,2001-058C,2026-08-21T06:39:32.897376,12.61617099,.00010658,82.5474,172.5083,65.7048,294.4154,0,U,27057,999,13471,.58639615E-4,.21E-6,0
USA 164 (MILSTAR-2 3),2002-001A,2026-08-21T03:06:34.885152,1.00270848,.00988329,11.2573,21.4972,9.9673,3.5798,0,U,27168,999,3361,0,.94E-6,0
INTELSAT 904 (IS-904),2002-007A,2026-08-21T09:42:41.189760,1.00272623,.00035334,7.0778,68.3787,60.9959,314.5368,0,U,27380,999,5242,0,-.23E-5,0
AQUA,2002-022A,2026-08-21T13:23:38.677056,14.62172467,.00018049,98.4345,204.1688,86.6015,49.4464,0,U,27424,999,29282,.13131829E-3,.611E-5,0
DIRECTV 5 (TEMPO 1),2002-023A,2026-08-21T09:38:38.722848,1.00273297,.00033334,5.0389,74.4734,85.0446,204.7770,0,U,27426,999,8877,0,-.62E-6,0
INTELSAT 905 (IS-905),2002-027A,2026-08-21T11:58:38.752032,1.00272913,.00029873,6.9122,68.9896,89.0201,214.2737,0,U,27438,999,5201,0,.89E-6,0
GALAXY 3C (G-3C),2002-030A,2026-08-21T13:48:31.957632,1.00272114,.00018495,3.9004,77.1374,33.6656,331.3627,0,U,27445,999,4715,0,-.157E-5,0
COSMOS 2390,2002-036A,2026-08-21T15:15:36.231264,12.44624943,.0026638,82.4856,304.0356,114.6576,245.7283,0,U,27464,999,9581,.48839006E-4,.17E-6,0
COSMOS 2391,2002-036B,2026-08-21T15:15:12.217248,12.44947597,.00275217,82.4846,300.5414,108.7980,251.6089,0,U,27465,999,9599,.98934771E-4,.24E-6,0
INTELSAT 906 (IS-906),2002-041A,2026-08-21T03:19:26.152896,1.00272482,.00025995,5.9620,72.0965,76.4579,294.9306,0,U,27513,999,8768,0,.8E-7,0
