OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
KUIPER-00008,2025-088A,2026-08-21T00:51:58.982112,14.79924419,.00008578,51.9004,81.2676,114.1841,245.9211,0,U,63724,999,7238,-.18162062E-3,-.1605E-4,0
KUIPER-00009,2025-088B,2026-08-21T15:21:04.588416,15.07754039,.00011244,51.9020,91.8192,59.3072,300.8013,0,U,63725,999,7228,.29578077E-3,.429E-4,0
KUIPER-00010,2025-088C,2026-08-21T06:40:05.122848,14.79933241,.00005981,51.9021,75.3056,101.7729,258.3301,0,U,63726,999,7210,.55178558E-4,.2E-5,0
KUIPER-00011,2025-088D,2026-08-21T07:17:07.410336,14.79934945,.0000681,51.9009,82.7383,117.9872,242.1160,0,U,63727,999,7213,-.17877687E-3,-.1584E-4,0
KUIPER-00012,2025-088E,2026-08-21T13:20:42.863424,14.79924197,.00008527,51.8997,66.5583,117.4920,242.6129,0,U,63728,999,7233,-.58389225E-4,-.666E-5,0
KUIPER-00013,2025-088F,2026-08-21T08:27:07.600320,14.79930308,.0000928,51.9007,99.9817,97.7864,262.3203,0,U,63729,999,7195,.9893441E-4,.533E-5,0
KUIPER-00014,2025-088G,2026-08-21T15:44:42.840096,14.79931208,.00008786,51.9002,98.5799,110.2711,249.8346,0,U,63730,999,7181,-.73677612E-4,-.783E-5,0
KUIPER-00015,2025-088H,2026-08-21T14:40:33.626784,14.79931996,.00011508,51.9001,108.8303,94.2520,265.8573,0,U,63731,999,7212,.11821517E-3,.68E-5,0
KUIPER-00016,2025-088J,2026-08-21T15:40:49.764000,14.79933509,.0000983,51.8997,101.1014,106.3433,253.7638,0,U,63732,999,7177,.41409177E-3,.2937E-4,0
KUIPER-00018,2025-088K,2026-08-21T15:07:44.917536,14.79966554,.0000526,51.9053,91.2412,119.9638,240.1377,0,U,63733,999,7191,-.13747744E-2,-.10693E-3,0
KUIPER-00019,2025-088L,2026-08-20T23:33:44.203104,14.79939475,.0001076,51.9011,92.8617,114.9875,245.1199,0,U,63734,999,7183,.23435419E-3,.1566E-4,0
KUIPER-00020,2025-088M,2026-08-21T15:03:52.522272,14.79929689,.00010983,51.9009,93.7533,108.6830,251.4252,0,U,63735,999,7208,-.4621311E-5,-.256E-5,0
KUIPER-00021,2025-088N,2026-08-21T07:46:15.508704,14.79925755,.0000934,51.8996,95.0484,99.1514,260.9554,0,U,63736,999,7187,.83804033E-4,.418E-5,0
KUIPER-00023,2025-088P,2026-08-21T14:59:58.519104,14.79930884,.00010906,51.9011,96.2066,102.5208,257.5877,0,U,63737,999,7218,.12915929E-4,-.123E-5,0
KUIPER-00024,2025-088Q,2026-08-21T00:44:13.412256,14.79931447,.00009589,51.9032,86.4422,111.1706,248.9359,0,U,63738,999,7239,.19798196E-3,.1288E-4,0
KUIPER-00025,2025-088R,2026-08-21T07:50:09.751200,14.79938947,.00012314,51.9025,92.6155,99.8790,260.2311,0,U,63739,999,7219,.45551797E-4,.126E-5,0
KUIPER-00027,2025-088S,2026-08-21T07:09:18.779328,14.79926581,.00011712,51.9005,87.7040,117.4213,242.6869,0,U,63740,999,7199,-.10691323E-3,-.1036E-4,0
KUIPER-00028,2025-088T,2026-08-21T14:30:45.445824,14.79940945,.00010745,51.9000,83.7922,115.3809,244.7265,0,U,63741,999,7248,.15233327E-3,.94E-5,0
KUIPER-00029,2025-088U,2026-08-21T07:27:16.056864,14.79929468,.00011803,51.9018,83.7841,103.1823,256.9271,0,U,63742,999,7198,-.25064551E-3,-.2131E-4,0
KUIPER-00030,2025-088V,2026-08-21T14:52:13.064160,14.79934414,.00011908,51.9017,101.2420,102.0503,258.0593,0,U,63743,999,7205,-.14985669E-3,-.1363E-4,0
KUIPER-00031,2025-088W,2026-08-21T14:26:53.015136,14.79930761,.00007939,51.9010,86.3416,110.8590,249.2457,0,U,63744,999,7197,.54498824E-4,.194E-5,0
KUIPER-00032,2025-088X,2026-08-21T14:16:32.264832,15.41866822,.00044087,51.8672,303.9088,352.5564,7.5359,0,U,63745,999,7495,.31753206E-3,.13311E-3,0
KUIPER-00033,2025-088Y,2026-08-21T00:42:21.565728,14.79930207,.0001011,51.9005,118.8740,101.3099,258.7977,0,U,63746,999,7195,.36107495E-4,.54E-6,0
KUIPER-00034,2025-088Z,2026-08-21T06:32:20.296032,14.79924894,.00007874,51.9025,80.3330,112.7644,247.3402,0,U,63747,999,7219,-.14738682E-3,-.1344E-4,0
KUIPER-00035,2025-088AA,2026-08-21T01:01:46.744896,14.79926460,.00007635,51.9001,106.3183,104.1296,255.9752,0,U,63748,999,7186,.15795776E-3,.983E-5,0
KUIPER-00037,2025-088AB,2026-08-21T15:26:45.119328,14.79899945,.00008703,51.8996,102.5204,92.2503,267.8559,0,U,63749,999,7275,.51625519E-3,.3714E-4,0
KUIPER-00038,2025-088AC,2026-08-21T15:11:38.270112,14.79925304,.00008691,51.9047,88.7368,116.3138,243.7914,0,U,63750,999,7194,-.12437149E-3,-.1169E-4,0
KUIPER-00039,2025-134A,2026-08-21T03:11:25.022400,14.79945211,.00004799,51.9001,225.9472,48.0517,312.0486,0,U,64500,999,6442,.34561929E-3,.2415E-4,0
KUIPER-00040,2025-134B,2026-08-21T10:13:30.828000,14.79934155,.00005905,51.8974,234.7180,48.6857,311.4156,0,U,64501,999,6432,.32672657E-3,.2271E-4,0
KUIPER-00041,2025-134C,2026-08-21T09:20:58.141248,14.79929041,.0000573,51.8978,237.2712,60.3865,299.7155,0,U,64502,999,6428,-.15712141E-3,-.1418E-4,0
KUIPER-00042,2025-134D,2026-08-21T03:48:25.418592,14.79930716,.00004543,51.8982,233.2676,79.3237,280.7777,0,U,64503,999,6432,.3483249E-3,.2435E-4,0
KUIPER-00043,2025-134E,2026-08-21T08:51:45.664992,14.79932585,.0000614,51.9003,224.8442,43.7806,316.3205,0,U,64504,999,6446,.34619096E-3,.2419E-4,0
KUIPER-00044,2025-134F,2026-08-21T00:26:10.262112,14.79928462,.00004881,51.8979,238.8928,45.2893,314.8109,0,U,64505,999,6423,.31615501E-3,.219E-4,0
KUIPER-00046,2025-134G,2026-08-21T09:24:52.208352,14.79948369,.00005516,51.8972,234.7114,43.7191,316.3815,0,U,64506,999,6432,.31207878E-3,.216E-4,0
KUIPER-00047,2025-134H,2026-08-21T07:41:42.197856,14.79945810,.00007714,51.8987,207.5542,49.6527,310.4503,0,U,64507,999,6469,.37502043E-3,.264E-4,0
KUIPER-00048,2025-134J,2026-08-21T14:59:19.539744,14.79928614,.00006461,51.8978,206.2236,62.9012,297.2016,0,U,64508,999,6474,.37281275E-3,.2622E-4,0
KUIPER-00049,2025-134K,2026-08-21T04:07:47.852832,14.79932100,.00006572,51.8992,220.6933,59.7603,300.3424,0,U,64509,999,6450,.38194019E-3,.2692E-4,0
KUIPER-00050,2025-134L,2026-08-21T02:57:44.137728,14.79930523,.00009289,51.8993,203.4293,59.9629,300.1426,0,U,64510,999,6474,-.11595601E-3,-.1105E-4,0
KUIPER-00051,2025-134M,2026-08-21T03:33:16.694496,14.79935631,.00005714,51.8990,219.4947,48.6830,311.4182,0,U,64511,999,6451,-.78535322E-4,-.82E-5,0
KUIPER-00053,2025-134P,2026-08-21T09:27:17.706816,14.81740774,.0001696,51.8991,213.1892,45.9195,314.1907,0,U,64513,999,6462,.32119428E-3,.2333E-4,0
KUIPER-00054,2025-134Q,2026-08-21T08:26:26.678688,14.79930986,.00006564,51.8971,209.9063,44.7668,315.3347,0,U,64514,999,6466,.38752412E-3,.2734E-4,0
KUIPER-00055,2025-134R,2026-08-21T05:37:07.982688,14.79938233,.00009971,51.9012,163.0705,68.5220,291.5849,0,U,64515,999,6531,.49607422E-3,.3563E-4,0
KUIPER-00056,2025-134S,2026-08-21T07:30:04.355424,14.79951060,.00006857,51.9007,215.1876,44.0722,316.0295,0,U,64516,999,6459,.36632852E-3,.2574E-4,0
KUIPER-00057,2025-134T,2026-08-21T08:55:39.809856,14.79940967,.00006539,51.8990,222.3459,48.1255,311.9763,0,U,64517,999,6449,.21926149E-3,.1451E-4,0
KUIPER-00058,2025-134U,2026-08-21T03:23:03.351264,14.79928974,.00008384,51.8987,218.3407,43.6409,316.4619,0,U,64518,999,6453,-.24456611E-3,-.2085E-4,0
KUIPER-00059,2025-134V,2026-08-21T03:30:50.715648,14.79942883,.00007413,51.8982,213.3565,44.3433,315.7589,0,U,64519,999,6460,.37661536E-3,.2652E-4,0
KUIPER-00060,2025-134W,2026-08-21T07:34:00.482304,14.79944722,.00007577,51.9012,212.6820,51.4282,308.6748,0,U,64520,999,6461,.37934605E-3,.2673E-4,0
